Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd,CountryName
9351860,SA_0000001419,COUNTRY,GRC,YEAR,EUR,Europe,SEX,2004,SEX_BTSX,,,,,,,142,142.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Greece
7169339,SA_0000001419,COUNTRY,THA,YEAR,SEAR,South-East Asia,SEX,2004,SEX_BTSX,,,,,,,89,89.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Thailand
6659826,SA_0000001419,COUNTRY,BEN,YEAR,AFR,Africa,SEX,2004,SEX_FMLE,,,,,,,385,385.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Benin
5190445,SA_0000001419,COUNTRY,GRD,YEAR,AMR,Americas,SEX,2004,SEX_BTSX,,,,,,,225,225.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Grenada
4264400,SA_0000001419,COUNTRY,YEM,YEAR,EMR,Eastern Mediterranean,SEX,2004,SEX_BTSX,,,,,,,184,184.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Yemen
5971747,SA_0000001419,COUNTRY,RUS,YEAR,EUR,Europe,SEX,2004,SEX_BTSX,,,,,,,176,176.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Russian Federation
1009254,SA_0000001419,COUNTRY,TUV,YEAR,WPR,Western Pacific,SEX,2004,SEX_MLE,,,,,,,12,12.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Tuvalu
1141423,SA_0000001419,COUNTRY,ARG,YEAR,AMR,Americas,SEX,2004,SEX_MLE,,,,,,,2,,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Argentina
1406029,SA_0000001419,COUNTRY,TKM,YEAR,EUR,Europe,SEX,2004,SEX_FMLE,,,,,,,135,135.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Turkmenistan
7162773,SA_0000001419,COUNTRY,TUR,YEAR,EUR,Europe,SEX,2004,SEX_FMLE,,,,,,,192,192.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Türkiye
4437150,SA_0000001419,COUNTRY,WSM,YEAR,WPR,Western Pacific,SEX,2004,SEX_FMLE,,,,,,,300,300.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Samoa
4556053,SA_0000001419,COUNTRY,MHL,YEAR,WPR,Western Pacific,SEX,2004,SEX_BTSX,,,,,,,189,189.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Marshall Islands
639488,SA_0000001419,COUNTRY,SWE,YEAR,EUR,Europe,SEX,2004,SEX_MLE,,,,,,,2,,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Sweden
6765602,SA_0000001419,COUNTRY,KHM,YEAR,WPR,Western Pacific,SEX,2004,SEX_FMLE,,,,,,,342,342.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Cambodia
