Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,ParentLocationCode,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd,CountryName
1041447,ORAL_HEALTH_CANCER_LIPORALCAVITY_100K,COUNTRY,HRV,YEAR,EUR,Europe,SEX,SEX_FMLE,2020,,,,,,,1.7,1.7,,,,2023-04-20T07:33:09+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00,Croatia
3117556,ORAL_HEALTH_CANCER_LIPORALCAVITY_100K,COUNTRY,DOM,YEAR,AMR,Americas,SEX,SEX_BTSX,2020,,,,,,,1.1,1.1,,,,2023-04-20T07:33:10+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00,Dominican Republic
8288371,ORAL_HEALTH_CANCER_LIPORALCAVITY_100K,COUNTRY,UGA,YEAR,AFR,Africa,SEX,SEX_FMLE,2020,,,,,,,1.3,1.3,,,,2023-04-20T07:33:22+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00,Uganda
5289072,ORAL_HEALTH_CANCER_LIPORALCAVITY_100K,COUNTRY,ARG,YEAR,AMR,Americas,SEX,SEX_FMLE,2020,,,,,,,1.2,1.2,,,,2023-04-20T07:33:05+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00,Argentina
3667346,ORAL_HEALTH_CANCER_LIPORALCAVITY_100K,COUNTRY,SRB,YEAR,EUR,Europe,SEX,SEX_FMLE,2020,,,,,,,2.4,2.4,,,,2023-04-20T07:33:20+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00,Serbia
6903850,ORAL_HEALTH_CANCER_LIPORALCAVITY_100K,COUNTRY,PHL,YEAR,WPR,Western Pacific,SEX,SEX_BTSX,2020,,,,,,,1.7,1.7,,,,2023-04-20T07:33:18+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00,Philippines
407386,ORAL_HEALTH_CANCER_LIPORALCAVITY_100K,COUNTRY,LSO,YEAR,AFR,Africa,SEX,SEX_FMLE,2020,,,,,,,1.0,0.99,,,,2023-04-20T07:33:15+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00,Lesotho
3766460,ORAL_HEALTH_CANCER_LIPORALCAVITY_100K,COUNTRY,CRI,YEAR,AMR,Americas,SEX,SEX_FMLE,2020,,,,,,,0.9,0.87,,,,2023-04-20T07:33:09+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00,Costa Rica
7718836,ORAL_HEALTH_CANCER_LIPORALCAVITY_100K,COUNTRY,PNG,YEAR,WPR,Western Pacific,SEX,SEX_BTSX,2020,,,,,,,21.2,21.2,,,,2023-04-20T07:33:18+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00,Papua New Guinea
7009713,ORAL_HEALTH_CANCER_LIPORALCAVITY_100K,COUNTRY,CAF,YEAR,AFR,Africa,SEX,SEX_MLE,2020,,,,,,,1.6,1.6,,,,2023-04-20T07:33:08+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00,Central African Republic
4164084,ORAL_HEALTH_CANCER_LIPORALCAVITY_100K,COUNTRY,KHM,YEAR,WPR,Western Pacific,SEX,SEX_MLE,2020,,,,,,,4.5,4.5,,,,2023-04-20T07:33:07+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00,Cambodia
1213329,ORAL_HEALTH_CANCER_LIPORALCAVITY_100K,COUNTRY,AZE,YEAR,EUR,Europe,SEX,SEX_MLE,2020,,,,,,,2.3,2.3,,,,2023-04-20T07:33:05+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00,Azerbaijan
9536574,ORAL_HEALTH_CANCER_LIPORALCAVITY_100K,COUNTRY,UGA,YEAR,AFR,Africa,SEX,SEX_MLE,2020,,,,,,,3.0,3.0,,,,2023-04-20T07:33:22+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00,Uganda
533386,ORAL_HEALTH_CANCER_LIPORALCAVITY_100K,COUNTRY,MLT,YEAR,EUR,Europe,SEX,SEX_MLE,2020,,,,,,,1.8,1.8,,,,2023-04-20T07:33:16+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00,Malta
2344011,ORAL_HEALTH_CANCER_LIPORALCAVITY_100K,COUNTRY,BOL,YEAR,AMR,Americas,SEX,SEX_MLE,2020,,,,,,,0.9,0.91,,,,2023-04-20T07:33:06+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00,"Bolivia, Plurinational State of"
790125,ORAL_HEALTH_CANCER_LIPORALCAVITY_100K,COUNTRY,DOM,YEAR,AMR,Americas,SEX,SEX_FMLE,2020,,,,,,,0.8,0.78,,,,2023-04-20T07:33:10+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00,Dominican Republic
3700623,ORAL_HEALTH_CANCER_LIPORALCAVITY_100K,COUNTRY,HTI,YEAR,AMR,Americas,SEX,SEX_FMLE,2020,,,,,,,0.6,0.6,,,,2023-04-20T07:33:12+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00,Haiti
8222239,ORAL_HEALTH_CANCER_LIPORALCAVITY_100K,COUNTRY,CAN,YEAR,AMR,Americas,SEX,SEX_BTSX,2020,,,,,,,4.2,4.2,,,,2023-04-20T07:33:08+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00,Canada
