Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd,CountryName
190457,SA_0000001420,COUNTRY,UKR,EUR,YEAR,Europe,SEX,SEX_FMLE,2004,,,,,,,147,147.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Ukraine
3894217,SA_0000001420,COUNTRY,MWI,AFR,YEAR,Africa,SEX,SEX_BTSX,2004,,,,,,,43,43.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Malawi
871024,SA_0000001420,COUNTRY,JAM,AMR,YEAR,Americas,SEX,SEX_BTSX,2004,,,,,,,81,81.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Jamaica
7853605,SA_0000001420,COUNTRY,RWA,AFR,YEAR,Africa,SEX,SEX_MLE,2004,,,,,,,39,39.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Rwanda
1301293,SA_0000001420,COUNTRY,BWA,AFR,YEAR,Africa,SEX,SEX_FMLE,2004,,,,,,,36,36.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Botswana
1591988,SA_0000001420,COUNTRY,GEO,EUR,YEAR,Europe,SEX,SEX_MLE,2004,,,,,,,55,55.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Georgia
7939960,SA_0000001420,COUNTRY,COG,AFR,YEAR,Africa,SEX,SEX_MLE,2004,,,,,,,84,84.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Congo
1288266,SA_0000001420,COUNTRY,BTN,SEAR,YEAR,South-East Asia,SEX,SEX_FMLE,2004,,,,,,,36,36.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Bhutan
4854895,SA_0000001420,COUNTRY,FIN,EUR,YEAR,Europe,SEX,SEX_MLE,2004,,,,,,,117,117.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Finland
7389016,SA_0000001420,COUNTRY,EGY,EMR,YEAR,Eastern Mediterranean,SEX,SEX_MLE,2004,,,,,,,67,67.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Egypt
4682602,SA_0000001420,COUNTRY,KIR,WPR,YEAR,Western Pacific,SEX,SEX_MLE,2004,,,,,,,0,,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Kiribati
5085537,SA_0000001420,COUNTRY,KOR,WPR,YEAR,Western Pacific,SEX,SEX_BTSX,2004,,,,,,,129,129.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,South Korea
3444810,SA_0000001420,COUNTRY,UGA,AFR,YEAR,Africa,SEX,SEX_BTSX,2004,,,,,,,76,76.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Uganda
8780408,SA_0000001420,COUNTRY,GNQ,AFR,YEAR,Africa,SEX,SEX_MLE,2004,,,,,,,38,38.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Eq. Guinea
2233673,SA_0000001420,COUNTRY,PER,AMR,YEAR,Americas,SEX,SEX_BTSX,2004,,,,,,,79,79.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Peru
5628306,SA_0000001420,COUNTRY,URY,AMR,YEAR,Americas,SEX,SEX_MLE,2004,,,,,,,205,205.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Uruguay
1797164,SA_0000001420,COUNTRY,MYS,WPR,YEAR,Western Pacific,SEX,SEX_MLE,2004,,,,,,,173,173.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Malaysia
5575331,SA_0000001420,COUNTRY,PRY,AMR,YEAR,Americas,SEX,SEX_MLE,2004,,,,,,,70,70.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Paraguay
4338715,SA_0000001420,COUNTRY,ZWE,AFR,YEAR,Africa,SEX,SEX_MLE,2004,,,,,,,65,65.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Zimbabwe
1182677,SA_0000001420,COUNTRY,DEU,EUR,YEAR,Europe,SEX,SEX_MLE,2004,,,,,,,196,196.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Germany
1427217,SA_0000001420,COUNTRY,ECU,AMR,YEAR,Americas,SEX,SEX_MLE,2004,,,,,,,50,50.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Ecuador
4927627,SA_0000001420,COUNTRY,BRB,AMR,YEAR,Americas,SEX,SEX_MLE,2004,,,,,,,136,136.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Barbados
4179471,SA_0000001420,COUNTRY,MKD,EUR,YEAR,Europe,SEX,SEX_BTSX,2004,,,,,,,149,149.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Macedonia
1295149,SA_0000001420,COUNTRY,MUS,AFR,YEAR,Africa,SEX,SEX_BTSX,2004,,,,,,,75,75.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Mauritius
5317437,SA_0000001420,COUNTRY,TCD,AFR,YEAR,Africa,SEX,SEX_FMLE,2004,,,,,,,41,41.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Chad
8165178,SA_0000001420,COUNTRY,LTU,EUR,YEAR,Europe,SEX,SEX_MLE,2004,,,,,,,174,174.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Lithuania
7005284,SA_0000001420,COUNTRY,MRT,AFR,YEAR,Africa,SEX,SEX_FMLE,2004,,,,,,,47,47.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Mauritania
2028414,SA_0000001420,COUNTRY,SLE,AFR,YEAR,Africa,SEX,SEX_BTSX,2004,,,,,,,101,101.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Sierra Leone
4583590,SA_0000001420,COUNTRY,DNK,EUR,YEAR,Europe,SEX,SEX_BTSX,2004,,,,,,,209,209.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Denmark
9294128,SA_0000001420,COUNTRY,CZE,EUR,YEAR,Europe,SEX,SEX_FMLE,2004,,,,,,,193,193.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Czechia
7078094,SA_0000001420,COUNTRY,KGZ,EUR,YEAR,Europe,SEX,SEX_MLE,2004,,,,,,,43,43.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Kyrgyzstan
2074707,SA_0000001420,COUNTRY,URY,AMR,YEAR,Americas,SEX,SEX_BTSX,2004,,,,,,,180,180.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Uruguay
9512202,SA_0000001420,COUNTRY,ISL,EUR,YEAR,Europe,SEX,SEX_BTSX,2004,,,,,,,128,128.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Iceland
6912741,SA_0000001420,COUNTRY,GUY,AMR,YEAR,Americas,SEX,SEX_MLE,2004,,,,,,,56,56.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Guyana
8634561,SA_0000001420,COUNTRY,SWE,EUR,YEAR,Europe,SEX,SEX_FMLE,2004,,,,,,,121,121.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Sweden
2822038,SA_0000001420,COUNTRY,ATG,AMR,YEAR,Americas,SEX,SEX_MLE,2004,,,,,,,85,85.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Antigua and Barbuda
8112343,SA_0000001420,COUNTRY,LBN,EMR,YEAR,Eastern Mediterranean,SEX,SEX_MLE,2004,,,,,,,26,26.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Lebanon
2782296,SA_0000001420,COUNTRY,CMR,AFR,YEAR,Africa,SEX,SEX_FMLE,2004,,,,,,,45,45.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Cameroon
8184765,SA_0000001420,COUNTRY,CPV,AFR,YEAR,Africa,SEX,SEX_MLE,2004,,,,,,,50,50.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Cabo Verde
6608262,SA_0000001420,COUNTRY,COD,AFR,YEAR,Africa,SEX,SEX_BTSX,2004,,,,,,,25,25.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Dem. Rep. Congo
5522730,SA_0000001420,COUNTRY,BHR,EMR,YEAR,Eastern Mediterranean,SEX,SEX_FMLE,2004,,,,,,,59,59.0,,,,2013-06-11T14:15:34+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00,Bahrain
