Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd,CountryName
3754273,NCD_HYP_PREVALENCE_A,COUNTRY,SWZ,AFR,YEAR,Africa,SEX,SEX_MLE,1990,,,,,,,36.6 [21.2-53.6],36.6,21.2,53.6,,2021-08-20T15:30:00+02:00,1990.0,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00,eSwatini
3811852,NCD_HYP_PREVALENCE_A,COUNTRY,JAM,AMR,YEAR,Americas,SEX,SEX_MLE,1990,,,,,,,36.2 [22.5-51.0],36.2,22.5,51.0,,2021-08-20T15:37:54+02:00,1990.0,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00,Jamaica
3818221,NCD_HYP_PREVALENCE_A,COUNTRY,TKM,EUR,YEAR,Europe,SEX,SEX_MLE,1990,,,,,,,34.8 [19.9-51.5],34.8,19.9,51.5,,2021-08-20T16:03:57+02:00,1990.0,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00,Turkmenistan
3838564,NCD_HYP_PREVALENCE_A,COUNTRY,BLR,EUR,YEAR,Europe,SEX,SEX_MLE,1990,,,,,,,53.4 [37.2-70.6],53.4,37.2,70.6,,2021-08-20T15:17:56+02:00,1990.0,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00,Belarus
3850572,NCD_HYP_PREVALENCE_A,COUNTRY,CZE,EUR,YEAR,Europe,SEX,SEX_MLE,1990,,,,,,,49.3 [42.3-56.5],49.3,42.3,56.5,,2021-08-20T15:26:19+02:00,1990.0,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00,Czechia
3861283,NCD_HYP_PREVALENCE_A,COUNTRY,COL,AMR,YEAR,Americas,SEX,SEX_BTSX,1990,,,,,,,29.1 [20.5-38.3],29.1,20.5,38.3,,2021-08-20T15:23:50+02:00,1990.0,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00,Colombia
3872714,NCD_HYP_PREVALENCE_A,COUNTRY,GMB,AFR,YEAR,Africa,SEX,SEX_BTSX,1990,,,,,,,36.6 [25.3-48.9],36.6,25.3,48.9,,2021-08-20T15:32:03+02:00,1990.0,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00,Gambia
3886503,NCD_HYP_PREVALENCE_A,COUNTRY,LTU,EUR,YEAR,Europe,SEX,SEX_BTSX,1990,,,,,,,56.0 [48.5-63.5],56.0,48.5,63.5,,2021-08-20T15:41:45+02:00,1990.0,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00,Lithuania
3917913,NCD_HYP_PREVALENCE_A,COUNTRY,LBR,AFR,YEAR,Africa,SEX,SEX_FMLE,1990,,,,,,,38.2 [21.8-55.8],38.2,21.8,55.8,,2021-08-20T15:41:13+02:00,1990.0,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00,Liberia
3917966,NCD_HYP_PREVALENCE_A,COUNTRY,IRN,EMR,YEAR,Eastern Mediterranean,SEX,SEX_BTSX,1990,,,,,,,32.4 [23.8-42.0],32.4,23.8,42.0,,2021-08-20T15:36:31+02:00,1990.0,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00,Iran
3931209,NCD_HYP_PREVALENCE_A,COUNTRY,CHE,EUR,YEAR,Europe,SEX,SEX_FMLE,1990,,,,,,,27.9 [20.0-37.1],27.9,20.0,37.1,,2021-08-20T16:00:29+02:00,1990.0,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00,Switzerland
3952972,NCD_HYP_PREVALENCE_A,COUNTRY,SAU,EMR,YEAR,Eastern Mediterranean,SEX,SEX_FMLE,1990,,,,,,,34.1 [21.5-49.2],34.1,21.5,49.2,,2021-08-20T15:55:58+02:00,1990.0,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00,Saudi Arabia
3988550,NCD_HYP_PREVALENCE_A,COUNTRY,SEN,AFR,YEAR,Africa,SEX,SEX_MLE,1990,,,,,,,37.5 [21.3-55.4],37.5,21.3,55.4,,2021-08-20T15:56:15+02:00,1990.0,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00,Senegal
